Date,Value
2021-01-01,16.74
2021-02-01,29.09
2021-03-01,31.44
2021-04-01,27.79
2021-05-01,29.06
2021-06-01,31.46
2021-07-01,13.33
2021-08-01,13.43
2021-09-01,14.22
2021-10-01,6.32
2021-11-01,8.59
2021-12-01,14.83
2022-01-01,25.69
2022-02-01,25.41
2022-03-01,55.48
2022-04-01,32.22
2022-05-01,38.64
2022-06-01,40.29
2022-07-01,30.84
2022-08-01,23.09
2022-09-01,19.85
2022-10-01,20.61
2022-11-01,15.04
2022-12-01,25.87
2023-01-01,24.68
2023-02-01,32.63
2023-03-01,41.76
2023-04-01,36.46
2023-05-01,38.82
2023-06-01,32.36
2023-07-01,28.28
2023-08-01,14.76
2023-09-01,13.55
2023-10-01,15.26
2023-11-01,43.85
2023-12-01,23.04
2024-01-01,29.67
2024-02-01,37.83
2024-03-01,37.62
2024-04-01,42.82
2024-05-01,38.04
2024-06-01,30.99
2024-07-01,29.1
2024-08-01,26.09
2024-09-01,21.1
2024-10-01,14.54
2024-11-01,23.46
2024-12-01,22.02
2025-01-01,29.82
2025-02-01,67.7
2025-03-01,33.59
2025-04-01,36.07
2025-05-01,42.91
2025-06-01,31.0
2025-07-01,27.58
2025-08-01,24.8
2025-09-01,19.97
2025-10-01,21.06
2025-11-01,21.99
2025-12-01,25.21
